% Program : PPPBox
% Positioning Mode : static
% Year   Doy      Second         dn(m)         de(m)         du(m)    ZTD(m)  nSat   GDOP    PDOP
2015      19    8100.000   5093002.534   3672002.154   1047507.806     2.345    6   2.072   1.873
2015      19    8130.000   5093002.534   3672002.155   1047507.807     2.345    6   2.076   1.875
2015      19    8160.000   5093002.531   3672002.158   1047507.811     2.345    6   2.079   1.878
2015      19    8190.000   5093002.529   3672002.160   1047507.812     2.345    6   2.082   1.880
2015      19    8220.000   5093002.527   3672002.162   1047507.815     2.345    6   2.086   1.883
2015      19    8250.000   5093002.526   3672002.162   1047507.816     2.344    6   2.089   1.885
2015      19    8280.000   5093002.528   3672002.161   1047507.815     2.344    6   2.093   1.888
2015      19    8310.000   5093002.528   3672002.161   1047507.816     2.344    6   2.096   1.890
2015      19    8340.000   5093002.524   3672002.165   1047507.821     2.344    6   2.100   1.893
2015      19    8370.000   5093002.521   3672002.167   1047507.826     2.344    6   2.103   1.896
2015      19    8400.000   5093002.523   3672002.165   1047507.823     2.344    6   2.107   1.898
2015      19    8430.000   5093002.526   3672002.162   1047507.818     2.344    6   2.111   1.901
2015      19    8460.000   5093002.526   3672002.162   1047507.817     2.344    6   2.114   1.904
2015      19    8490.000   5093002.526   3672002.163   1047507.819     2.344    6   2.118   1.906
2015      19    8520.000   5093002.527   3672002.162   1047507.817     2.344    6   2.122   1.909
2015      19    8550.000   5093002.527   3672002.161   1047507.818     2.344    6   2.125   1.912
2015      19    8580.000   5093002.529   3672002.159   1047507.815     2.343    6   2.129   1.914
2015      19    8610.000   5093002.528   3672002.160   1047507.818     2.343    6   2.133   1.917
2015      19    8640.000   5093002.527   3672002.161   1047507.820     2.343    6   2.137   1.920
2015      19    8670.000   5093002.530   3672002.158   1047507.815     2.343    7   1.978   1.788
2015      19    8700.000   5093002.528   3672002.160   1047507.817     2.343    7   1.976   1.786
2015      19    8730.000   5093002.529   3672002.159   1047507.817     2.343    7   1.974   1.784
2015      19    8760.000   5093002.531   3672002.157   1047507.814     2.343    7   1.971   1.782
2015      19    8790.000   5093002.535   3672002.152   1047507.809     2.343    7   1.969   1.779
2015      19    8820.000   5093002.533   3672002.154   1047507.813     2.343    7   1.966   1.777
2015      19    8850.000   5093002.540   3672002.148   1047507.804     2.342    7   1.963   1.774
2015      19    8880.000   5093002.539   3672002.148   1047507.805     2.342    7   1.960   1.772
2015      19    8910.000   5093002.544   3672002.143   1047507.799     2.342    7   1.958   1.769
2015      19    8940.000   5093002.542   3672002.145   1047507.802     2.343    7   1.954   1.766
2015      19    8970.000   5093002.541   3672002.146   1047507.803     2.343    7   1.951   1.764
2015      19    9000.000   5093002.545   3672002.143   1047507.798     2.343    7   1.948   1.761
2015      19    9030.000   5093002.543   3672002.144   1047507.800     2.343    7   1.945   1.758
2015      19    9060.000   5093002.543   3672002.144   1047507.801     2.343    7   1.941   1.754
2015      19    9090.000   5093002.544   3672002.142   1047507.800     2.342    7   1.938   1.751
2015      19    9120.000   5093002.549   3672002.138   1047507.793     2.342    7   1.934   1.748
2015      19    9150.000   5093002.550   3672002.136   1047507.792     2.342    7   1.931   1.745
2015      19    9180.000   5093002.551   3672002.136   1047507.791     2.342    7   1.927   1.741
2015      19    9210.000   5093002.551   3672002.136   1047507.792     2.342    7   1.923   1.738
2015      19    9240.000   5093002.547   3672002.139   1047507.798     2.342    7   1.919   1.734
2015      19    9270.000   5093002.549   3672002.137   1047507.795     2.342    7   1.915   1.731
2015      19    9300.000   5093002.552   3672002.135   1047507.791     2.343    7   1.911   1.727
2015      19    9330.000   5093002.550   3672002.137   1047507.794     2.343    7   1.907   1.724
2015      19    9360.000   5093002.554   3672002.133   1047507.787     2.343    7   1.903   1.720
2015      19    9390.000   5093002.554   3672002.132   1047507.787     2.343    7   1.898   1.716
2015      19    9420.000   5093002.552   3672002.134   1047507.791     2.342    7   1.894   1.712
2015      19    9450.000   5093002.557   3672002.129   1047507.785     2.343    7   1.890   1.708
2015      19    9480.000   5093002.557   3672002.129   1047507.785     2.343    7   1.885   1.705
2015      19    9510.000   5093002.560   3672002.126   1047507.782     2.343    7   1.881   1.701
2015      19    9540.000   5093002.564   3672002.122   1047507.776     2.343    7   1.876   1.697
2015      19    9570.000   5093002.563   3672002.123   1047507.779     2.343    7   1.872   1.693
2015      19    9600.000   5093002.561   3672002.124   1047507.782     2.342    7   1.867   1.689
2015      19    9630.000   5093002.564   3672002.122   1047507.778     2.343    7   1.863   1.684
2015      19    9660.000   5093002.568   3672002.118   1047507.773     2.343    7   1.858   1.680
2015      19    9690.000   5093002.569   3672002.116   1047507.771     2.344    7   1.853   1.676
2015      19    9720.000   5093002.570   3672002.114   1047507.771     2.343    7   1.849   1.672
