% Program : PPPBox
% Positioning Mode : static
% Year   Doy      Secondstatic
% Year   Doy      Second         dn(m)         de(m)         du(m)    ZTD(m)  nSat   GDOP    PDOP
2017      73   45573.000        -0.073         0.013        -0.376     2.408    9   1.988   1.745
2017      73   45574.000        -0.052         0.018        -0.384     2.404    9   1.988   1.745
2017      73   45575.000        -0.034         0.021        -0.393     2.400    9   1.988   1.745
2017      73   45576.000        -0.015         0.028        -0.401     2.396    9   1.988   1.745
2017      73   45577.000         0.004         0.034        -0.402     2.393    9   1.988   1.745
2017      73   45578.000         0.025         0.038        -0.404     2.391    9   1.989   1.745
2017      73   45579.000         0.042         0.040        -0.404     2.389    9   1.989   1.746
2017      73   45580.000         0.061         0.045        -0.403     2.387    9   1.989   1.746
2017      73   45581.000         0.077         0.049        -0.402     2.385    9   1.989   1.746
2017      73   45582.000         0.093         0.050        -0.400     2.384    9   1.990   1.746
2017      73   45583.000         0.107         0.051        -0.398     2.383    9   1.990   1.746
2017      73   45584.000         0.122         0.053        -0.398     2.381    9   1.990   1.747
2017      73   45585.000         0.136         0.055        -0.398     2.379    9   1.990   1.747
2017      73   45586.000         0.150         0.059        -0.399     2.377    9   1.990   1.747
2017      73   45587.000         0.156         0.062        -0.396     2.376    9   1.991   1.747
2017      73   45588.000         0.161         0.065        -0.393     2.374    9   1.991   1.747
2017      73   45589.000         0.163         0.067        -0.389     2.373    9   1.991   1.747
2017      73   45590.000         0.168         0.069        -0.385     2.372    9   1.991   1.748
2017      73   45591.000         0.171         0.071        -0.381     2.371    9   1.992   1.748
2017      73   45592.000         0.172         0.071        -0.375     2.370    9   1.992   1.748
2017      73   45593.000         0.173         0.074        -0.371     2.369    9   1.992   1.748
2017      73   45594.000         0.172         0.077        -0.368     2.368    9   1.992   1.748
2017      73   45595.000         0.171         0.081        -0.365     2.366    9   1.992   1.749
2017      73   45596.000         0.168         0.083        -0.359     2.365    9   1.993   1.749
2017      73   45597.000         0.161         0.083        -0.350     2.365    9   1.993   1.749
2017      73   45598.000         0.153         0.085        -0.341     2.365    9   1.993   1.749
2017      73   45599.000         0.142         0.086        -0.331     2.365    9   1.993   1.749
2017      73   45600.000         0.129         0.083        -0.319     2.366    9   1.994   1.749
2017      73   45601.000         0.116         0.082        -0.308     2.367    9   1.994   1.750
2017      73   45602.000         0.103         0.083        -0.298     2.367    9   1.994   1.750
2017      73   45603.000         0.088         0.084        -0.288     2.367    9   1.994   1.750
2017      73   45604.000         0.074         0.084        -0.278     2.367    9   1.994   1.750
2017      73   45605.000         0.059         0.084        -0.268     2.368    9   1.995   1.750
2017      73   45606.000         0.042         0.082        -0.256     2.369    9   1.995   1.751
2017      73   45607.000         0.018         0.081        -0.243     2.369    9   1.995   1.751
2017      73   45608.000        -0.007         0.080        -0.231     2.370    9   1.995   1.751
2017      73   45609.000        -0.032         0.079        -0.218     2.370    9   1.996   1.751
2017      73   45610.000        -0.057         0.077        -0.206     2.371    9   1.996   1.751
2017      73   45611.000        -0.081         0.077        -0.195     2.371    9   1.996   1.751
2017      73   45612.000        -0.107         0.073        -0.183     2.372    9   1.996   1.752
2017      73   45613.000        -0.131         0.072        -0.171     2.372    9   1.996   1.752
2017      73   45614.000        -0.153         0.072        -0.162     2.372    9   1.997   1.752
2017      73   45615.000        -0.177         0.071        -0.152     2.373    9   1.997   1.752
2017      73   45616.000        -0.196         0.072        -0.144     2.372    9   1.997   1.752
2017      73   45617.000        -0.207         0.074        -0.144     2.371    9   1.997   1.753
2017      73   45618.000        -0.218         0.077        -0.145     2.369    9   1.997   1.753
2017      73   45619.000        -0.230         0.075        -0.144     2.368    9   1.998   1.753
2017      73   45620.000        -0.242         0.078        -0.143     2.367    9   1.998   1.753
2017      73   45621.000        -0.253         0.080        -0.144     2.365    9   1.998   1.753
2017      73   45622.000        -0.263         0.083        -0.145     2.363    9   1.998   1.753
2017      73   45623.000        -0.273         0.085        -0.147     2.361    9   1.999   1.754
2017      73   45624.000        -0.282         0.086        -0.148     2.359    9   1.999   1.754
2017      73   45625.000        -0.293         0.085        -0.150     2.357    9   1.999   1.754
2017      73   45626.000        -0.305         0.084        -0.151     2.355    9   1.999   1.754
2017      73   45627.000        -0.316         0.085        -0.153     2.352    9   1.999   1.754
2017      73   45628.000        -0.328         0.085        -0.155     2.350    9   2.000   1.754
2017      73   45629.000        -0.340         0.085        -0.156     2.348    9   2.000   1.755
2017      73   45630.000        -0.354         0.085        -0.157     2.346    9   2.000   1.755
2017      73   45631.000        -0.367         0.086        -0.157     2.344    9   2.000   1.755
2017      73   45632.000        -0.380         0.089        -0.157     2.342    9   2.001   1.755
2017      73   45633.000        -0.393         0.093        -0.158     2.340    9   2.001   1.755
2017      73   45634.000        -0.406         0.097        -0.157     2.338    9   2.001   1.756
2017      73   45635.000        -0.418         0.101        -0.157     2.335    9   2.001   1.756
2017      73   45636.000        -0.423         0.105        -0.156     2.334    9   2.001   1.756
2017      73   45637.000        -0.429         0.109        -0.154     2.332    9   2.002   1.756
2017      73   45638.000        -0.435         0.113        -0.154     2.331    9   2.002   1.756
2017      73   45639.000        -0.440         0.116        -0.154     2.329    9   2.002   1.756
2017      73   45640.000        -0.445         0.118        -0.151     2.328    9   2.002   1.757
2017      73   45641.000        -0.449         0.123        -0.150     2.326    9   2.002   1.757
2017      73   45642.000        -0.452         0.127        -0.150     2.324    9   2.003   1.757
2017      73   45643.000        -0.456         0.129        -0.148     2.323    9   2.003   1.757
2017      73   45644.000        -0.461         0.131        -0.147     2.322    9   2.003   1.757
2017      73   45645.000        -0.463         0.138        -0.148     2.320    9   2.003   1.757
2017      73   45646.000        -0.466         0.144        -0.148     2.319    9   2.004   1.758
2017      73   45647.000        -0.460         0.151        -0.151     2.318    9   2.004   1.758
2017      73   45648.000        -0.452         0.157        -0.153     2.317    9   2.004   1.758
2017      73   45649.000        -0.446         0.163        -0.154     2.317    9   2.004   1.758
2017      73   45650.000        -0.439         0.173        -0.156     2.316    9   2.004   1.758
2017      73   45651.000        -0.433         0.179        -0.158     2.316    9   2.005   1.759
2017      73   45652.000        -0.425         0.187        -0.161     2.315    9   2.005   1.759
2017      73   45653.000        -0.417         0.196        -0.163     2.314    9   2.005   1.759
2017      73   45654.000        -0.410         0.202        -0.165     2.314    9   2.005   1.759
2017      73   45655.000        -0.402         0.208        -0.168     2.314    9   2.006   1.759
2017      73   45656.000        -0.394         0.215        -0.172     2.313    9   2.006   1.759
2017      73   45657.000        -0.386         0.222        -0.174     2.313    9   2.006   1.760
2017      73   45658.000        -0.379         0.226        -0.175     2.313    9   2.006   1.760
2017      73   45659.000        -0.372         0.232        -0.177     2.313    9   2.006   1.760
2017      73   45660.000        -0.365         0.236        -0.179     2.314    9   2.007   1.760
2017      73   45661.000        -0.357         0.241        -0.180     2.314    9   2.007   1.760
2017      73   45662.000        -0.352         0.244        -0.180     2.314    9   2.007   1.760
2017      73   45663.000        -0.344         0.248        -0.181     2.315    9   2.007   1.761
2017      73   45664.000        -0.337         0.253        -0.182     2.315    9   2.007   1.761
2017      73   45665.000        -0.330         0.255        -0.182     2.315    9   2.008   1.761
2017      73   45666.000        -0.323         0.258        -0.183     2.315    9   2.008   1.761
2017      73   45667.000        -0.312         0.263        -0.185     2.316    9   2.008   1.761
2017      73   45668.000        -0.302         0.266        -0.184     2.317    9   2.008   1.762
2017      73   45669.000        -0.293         0.268        -0.184     2.318    9   2.009   1.762
2017      73   45670.000        -0.284         0.270        -0.184     2.319    9   2.009   1.762
2017      73   45671.000        -0.274         0.273        -0.184     2.320    9   2.009   1.762
2017      73   45672.000        -0.262         0.276        -0.184     2.321    9   2.009   1.762
2017      73   45673.000        -0.252         0.278        -0.183     2.322    9   2.009   1.762
2017      73   45674.000        -0.242         0.280        -0.182     2.323    9   2.010   1.763
2017      73   45675.000        -0.231         0.283        -0.182     2.324    9   2.010   1.763
2017      73   45676.000        -0.221         0.286        -0.182     2.325    9   2.010   1.763
2017      73   45677.000        -0.211         0.287        -0.184     2.326    9   2.010   1.763
2017      73   45678.000        -0.200         0.289        -0.187     2.326    9   2.010   1.763
2017      73   45679.000        -0.188         0.290        -0.189     2.327    9   2.011   1.763
2017      73   45680.000        -0.176         0.291        -0.192     2.327    9   2.011   1.764
